strike,mid_price,bid,ask,implied_volatility,time_to_maturity,moneyness,log_moneyness,optionType,expirationDate,volume,openInterest
585.0,102.805,101.16,104.45,0.8611388776212631,0.021917808219178082,0.856703552633249,-0.15466333313939115,call,2026-02-27,10.0,11.0
557.0,139.09,137.31,140.87,0.6219220200506551,0.1095890410958904,0.8156989381482388,-0.20370994044396368,call,2026-03-31,10.0,7.0
581.0,114.825,113.42,116.23,0.525580740533202,0.1095890410958904,0.8508457505639618,-0.16152442351933646,call,2026-03-31,10.0,78.0
614.0,87.07,86.72,87.42,0.34475510757048716,0.1917808219178082,0.899172617635581,-0.10628025222410525,call,2026-04-30,16.0,18.0
641.0,67.705,67.44,67.97,0.272106289873277,0.27123287671232876,0.9387127816032694,-0.06324572345057765,call,2026-05-29,5.0,4.0
669.0,45.129999999999995,44.94,45.32,0.23259972526728423,0.27123287671232876,0.9797173960882796,-0.020491120243019308,call,2026-05-29,5.0,8.0
480.0,219.035,217.38,220.69,0.4814309835118353,0.3589041095890411,0.7029362483144607,-0.35248907646931116,call,2026-06-30,7.0,10.0
593.0,107.985,106.81,109.16,0.25707777047802033,0.3589041095890411,0.8684191567718234,-0.14108078137352223,call,2026-06-30,8.0,12.0
596.0,110.105,109.73,110.48,0.30323582725688614,0.3589041095890411,0.8728125083237888,-0.13603451330589791,call,2026-06-30,9.0,11.0
638.0,74.64500000000001,74.34,74.95,0.25917296954036534,0.3589041095890411,0.934319430051304,-0.06793689702645783,call,2026-06-30,6.0,25.0
556.0,5.210000000000001,5.19,5.23,0.2938554867180182,0.3589041095890411,0.814234487630917,-0.20550688612066534,put,2026-06-30,16.0,51.0
505.0,201.01,199.33,202.69,0.3429434067088974,0.6109589041095891,0.7395475112475055,-0.3017167510958879,call,2026-09-30,24.0,22.0
609.0,108.96000000000001,108.54,109.38,0.25221769109374537,0.6109589041095891,0.8918503650489721,-0.11445691266135062,call,2026-09-30,6.0,11.0
627.0,89.285,88.17,90.4,0.20765432539393686,0.6109589041095891,0.9182104743607643,-0.08532863973832701,call,2026-09-30,6.0,4.0
629.0,86.92,86.51,87.33,0.2016319355711717,0.6109589041095891,0.9211393753954079,-0.08214392367080717,call,2026-09-30,211.0,215.0
632.0,85.25,84.15,86.35,0.20454231294703834,0.6109589041095891,0.9255327269473733,-0.07738578622439024,call,2026-09-30,82.0,53.0
638.0,80.565,79.48,81.65,0.201371229417196,0.6109589041095891,0.934319430051304,-0.06793689702645783,call,2026-09-30,240.0,120.0
666.0,58.715,58.4,59.03,0.18079874067457008,0.6109589041095891,0.9753240445363143,-0.024985509830858538,call,2026-09-30,10.0,31.0
656.0,23.635,23.6,23.67,0.20925066567426046,0.6109589041095891,0.9606795393630964,-0.04011439142715861,put,2026-09-30,17.0,19.0
657.0,23.82,23.78,23.86,0.2083433177365971,0.6109589041095891,0.9621439898804182,-0.03859116188663714,put,2026-09-30,17.0,21.0
775.0,89.8,87.86,91.74,0.20943054019393878,0.8273972602739726,1.1349491509243896,0.12658784898209924,put,2026-12-18,5.0,15.0
530.0,179.305,177.94,180.67,0.22192123994888535,0.863013698630137,0.7761587741805503,-0.25339817382508023,call,2026-12-31,10.0,10.0
645.0,85.195,84.0,86.39,0.1888560987529054,0.863013698630137,0.9445705836725566,-0.057024863575475156,call,2026-12-31,86.0,44.0
800.0,121.0,118.5,123.5,0.25062810123468365,2.3232876712328765,1.1715604138574345,0.15833654729667956,put,2028-06-16,5.0,18.0
